Date,Open,High,Low,Close,Volume,VWAP,TWAP
2020-01-10,7819.16798231,8159.43484757,7687.77659716,8159.43484757,894602.4842013,7899.31926053,7888.1311202
2020-01-09,8040.25528832,8040.25528832,7783.46499214,7826.61129193,736730.06262544,7903.01578419,7898.06077988
2020-01-08,8149.87664505,8418.70498029,7884.25135602,8037.93333389,1149203.67453208,8223.99814144,8230.72357894
2020-01-07,7759.57767524,8174.85109892,7759.57767524,8156.94506277,1003437.86008534,7931.44956005,7924.05501449
2020-01-06,7355.30201931,7769.40347407,7352.9341789,7767.97932388,730532.64957453,7539.76420455,7536.63587683
2020-01-05,7360.65059858,7474.18219427,7334.33834945,7346.77665925,568039.98112785,7433.05100253,7432.69218231
2020-01-04,7336.57806027,7388.72537848,7289.67820822,7361.45917492,499514.10691236,7331.20363309,7332.34709565
2020-01-03,6968.28676412,7386.1441426,6893.2585162,7315.17061861,875573.18963892,7247.85163815,7228.50567609
2020-01-02,7204.09179553,7225.30476722,6955.69682587,6968.28904996,549045.81935732,7092.63725799,7099.96383877
2020-01-01,7192.96897495,7251.4005857,7177.2764541,7205.93947126,431828.34034313,7218.26726649,7219.02101192
2019-12-31,7241.10759793,7302.06083393,7149.95091728,7200.99717753,524395.94941313,7222.62211004,7222.50077954
2019-12-30,7389.88935426,7393.48151138,7232.53555864,7237.69918483,540077.31309675,7312.3651313,7313.79924689
2019-12-29,7310.99818348,7493.27802551,7293.04453633,7390.71251111,526721.17969877,7359.19253711,7360.19101253
2019-12-28,7254.40506283,7358.02401255,7248.08113305,7312.26907987,542573.88011895,7307.77273443,7309.20414815
2019-12-27,7217.52234496,7260.94290681,7115.98123355,7250.21977793,689411.85734892,7213.5844669,7213.93707307
2019-12-26,7227.34327074,7425.07621142,7183.54322343,7219.5973411,646161.17297907,7245.77929806,7245.13632277
2019-12-25,7275.55921685,7286.91345493,7159.00967935,7225.33935699,545525.44308265,7244.37855348,7242.90739381
2019-12-24,7328.32472847,7409.0578542,7180.92720471,7257.26812267,700754.80657571,7307.57247004,7306.00728488
2019-12-23,7510.31419273,7679.65633437,7298.0121126,7334.10943529,868747.18402954,7506.59460765,7512.23472227
2019-12-22,7177.52410569,7509.47554609,7155.85956223,7509.47554609,595719.82489662,7262.8072604,7249.49907337
2019-12-21,7205.12224397,7213.77612651,7149.79409089,7178.81484106,415126.44254322,7177.79547909,7177.42591503
2019-12-20,7163.4282939,7220.16232728,7099.95821423,7200.45014997,580462.50460001,7162.77233267,7165.5134261
